gene_id	GBP-24	GBP-25	GBP-22	GBP-23	GPO-1	GPO-2	GPO-3	GPO-4	GBP-9	GBP-10	GBP-11	GBP-12	GBP-5	GBP-6	GBP-20	GBP-21	GBP-3	GBP-4	GBP-7	GBP-8	GBP-16	GBP-17	GBP-18	GBP-19	GPO-36	GPO-37	GPO-30	GPO-31	GPO-32	GPO-33	GPO-34	GPO-35	GPO-160	GPO-161
Ec-00_000940	49.504	48.422	21.803	23.764	66.876	92.092	77.856	90.132	37.159	24.025	52.619	53.916	37.477	17.147	40.976	41.139	80.212	54.621	22.483	30.047	30.608	55.814	52.33	49.17	4.096	4.346	73.929	61.79	120.235	115.32	31.828	39.227	74.986	76.167
Ec-00_000950	162.331	150.931	97.397	111.946	148.217	181.457	178.687	194.226	84.287	74.322	107.762	108.133	66.624	71.891	110.707	114.301	120.46	111.626	66.244	101.371	76.952	89.869	124.393	116.476	342.33	328.025	178.424	97.921	191.562	188.428	130.437	136.844	164.94	173.335
Ec-00_000970	26.88	29.02	21.772	19.585	24.95	27.903	25.782	27.111	18.837	19.095	17.655	22.338	28.943	20.336	18.941	17.568	18.441	13.627	15.008	20.661	13.356	13.463	18.31	16.403	4.193	3.6	22.931	17.361	21.191	19.313	14.286	13.433	31.726	32.247
Ec-00_000980	132.264	121.707	83.983	101.784	157.292	113.639	155.052	201.651	90.925	78.862	94.998	131.338	99.041	84.397	87.857	89.288	98.788	94.128	61.641	58.824	56.809	70.906	136.487	121.344	11.992	11.958	161.994	129.92	180.983	176.468	81.509	88.465	99.346	104.287
Ec-00_000990	3.985	4.48	2.247	1.35	10.59	4.495	4.12	3.441	1.284	1.791	1.311	0.737	1.365	0.529	0.408	0.42	0.137	0.292	0.179	0.565	0.055	0.207	6.175	3.934	0.284	0.34	7.247	4.217	0.48	0.705	0.241	0.136	1.783	1.755
Ec-00_001000	4.818	4.864	2.355	1.529	24.352	25.516	4.795	8.7	3.239	4.222	4.1	1.212	5.306	1.108	0.732	0.427	0.247	0.757	0.229	0.328	0.197	0.504	17.145	10.17	2.188	2.006	11.298	7.603	1.094	0.433	0.336	0.427	5.471	5.545
Ec-00_001020	38.039	38.716	32.49	32.687	22.739	10.594	31.776	37.324	33.207	29.965	29.435	37.809	32.612	17.14	34.385	35.786	24.44	40.299	32.817	31.959	28.414	35.495	37.43	38.458	17.763	17.758	54.446	40.489	46.922	47.571	57.874	65.093	36.26	40.2
Ec-00_001030	0.311	0.296	0	0.26	0	0	0.781	0.509	15.999	16.186	7.27	1.118	0.502	0	1.455	0	0	0.787	1.238	16.518	0	0.359	1.561	1.425	164.681	153.304	0.564	1.86	7.173	4.051	3.244	1.237	15.837	8.83
Ec-00_001040	2.141	2.324	0.59	0.264	7.555	7.231	5.378	8.737	3.232	2.02	3.642	3.407	1.869	0.443	0.854	1.112	2.133	2.399	0.734	0.546	0.526	1.012	2.335	1.97	6.513	7.389	4.39	4.201	3.391	3.15	0.586	0.512	4.055	4.163
Ec-00_001050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ec-00_001060	2.616	1.038	0.687	0.273	2.815	6.668	4.927	2.856	2.066	2.389	2.23	2.35	2.11	0	0.816	1.191	0.779	1.104	0.868	0	1.4	0.251	1.915	2.247	1.383	6.2	4.741	3.913	6.6	1.893	0.91	0	2.166	3.156
Ec-00_001070	5.419	4.716	4.177	2.852	4.672	6.906	7.936	5.837	8.731	6.769	5.019	7.163	4.13	3.976	11.748	11.381	10.858	6.706	9.692	10.245	9.697	9.118	4.717	6.775	5.549	4.455	11.689	8.676	9.157	8.842	11.949	13.429	10.607	12.071
Ec-00_001080	16.316	15.978	9.114	10.231	24.406	31.523	19.889	19.599	11.192	11.776	11.064	13.053	12.536	13.117	12.714	12.949	15.392	12.303	11.206	15.808	9.487	10.562	15.415	13.522	0.498	0.909	11.027	6.503	12.942	14.166	9.278	10.151	25.896	26.226
Ec-00_001090	11.247	10.54	9.467	8.036	14.198	23.065	19.555	24.492	19.974	19.815	19.341	26.217	20.759	9.726	19.361	18.622	22.628	21.42	16.6	15.291	13.6	18.146	16.867	20.983	1.754	0.855	15.523	23.536	28.77	29.004	19.321	19.508	17.409	18.185
Ec-00_001100	10.393	9.252	8.864	6.458	17.054	12.328	20.737	13.218	15.82	8.432	23.591	10.466	9.039	39.134	17.07	15.582	11.461	17.54	11.776	11.939	8.563	11.986	15.264	15.2	77.03	80.097	25.454	24.974	17.801	18.46	12.034	14.859	19.757	19.128
Ec-00_001110	4.248	3.438	3.086	1.309	8.798	13.028	5.134	5.335	4.757	3.325	3.08	1.837	2.473	0.293	1.136	0.977	0.228	0.809	0.254	0.662	0.068	0.368	12.346	6.952	4.356	5.935	6.484	7.166	1.381	0.647	0.4	0.254	5.118	5.62
